feature,type,pearson_r,pearson_p,spearman_r,spearman_p,eta2,top_cats
price_num,numeric,0.01517539825734723,0.46139148058585494,-0.0603055117396823,0.0033950388370564003,,
amenities_count,numeric,0.1778743063968357,6.796532839039531e-22,0.22985664767080213,7.892324128356362e-36,,
has_wifi,numeric,0.07650942955346784,3.965930432760603e-05,0.08872584773133933,1.8602662035155463e-06,,
has_kitchen,numeric,-0.09044594352222696,1.1688069440975963e-06,-0.048673869994171115,0.008999464172040283,,
has_free_parking,numeric,0.05262805203209718,0.004734581613242848,0.03559587247049843,0.05616939631937471,,
has_breakfast,numeric,0.018083202908472013,0.33207841788828896,0.0019532284603745345,0.9165681340546858,,
description_len,numeric,0.10791890849866767,6.4375090189381696e-09,0.09478149973157038,3.4894313954969903e-07,,
name_len,numeric,0.12762368140959532,6.28815154918747e-12,0.1487187116951363,1.049959899612624e-15,,
neighborhood_overview_len,numeric,0.1593177316767655,7.99452315289461e-18,0.20124783875937535,1.0875506505335374e-27,,
bathrooms,numeric,-0.03291595901754943,0.11020309557800759,-0.03465352003564807,0.09263725266784581,,
bathrooms_text_raw,numeric,,,,,,
bedrooms,numeric,-0.08616107514802143,7.348827440281699e-06,-0.0854349651160309,8.772651690598421e-06,,
beds,numeric,-0.050592947458679774,0.014070406689032408,-0.02332382010037743,0.25787865113585645,,
accommodates,numeric,-0.010643483785868595,0.5680957210815284,0.029343941087328854,0.11545441230906794,,
reviews_per_month,numeric,0.7388410030615677,0.0,0.7604089618732676,0.0,,
review_scores_rating,numeric,0.1294853371823548,7.192300086640303e-11,-0.06768151246855059,0.0006844228195898433,,
review_scores_accuracy,numeric,0.13473458831548446,1.17578422921609e-11,-0.08616262511620865,1.517893816691305e-05,,
review_scores_cleanliness,numeric,0.12620261230583985,2.1527149870383234e-10,-0.04743383608473402,0.017384214853553695,,
review_scores_checkin,numeric,0.08196870675867561,3.875548320004496e-05,-0.1796150282430668,1.1338291165142566e-19,,
review_scores_communication,numeric,0.11455091041974141,8.427766805238126e-09,-0.14864518273380709,6.835910028863607e-14,,
review_scores_location,numeric,0.11035444593979647,2.9003420746426443e-08,-0.05370389389474117,0.007074704316935098,,
review_scores_value,numeric,0.1279930110175658,1.1879854008805682e-10,-0.04147968579990087,0.037558196147783995,,
latitude,numeric,-0.07655047190499951,3.9281344891398846e-05,-0.09281551555193188,6.077207442775566e-07,,
longitude,numeric,-0.037426443438036416,0.044643675188284,-0.06092559673822714,0.0010729614524123043,,
neighbourhood_group_cleansed,numeric,,,,,,
property_type,categorical,,,,,0.06441344106312237,"{'Plane': 0.5341552012324483, 'Private room in cottage': 0.5083490491886725, 'Private room in casa particular': 0.5054648321955447, 'Private room in cabin': 0.5044022259349187, 'Treehouse': 0.4022005982095361}"
room_type,categorical,,,,,0.0014522774503063103,"{'Entire home/apt': 0.13694381100311132, 'Private room': 0.12514452301136986, 'Hotel room': 0.07473733367706083, 'Shared room': 0.03592632372467105}"
neighbourhood_cleansed,categorical,,,,,0.03150202793919335,"{'St George Troopers Hill': 0.17955772047724042, 'Clifton': 0.17183859800633175, 'Clifton Down': 0.1660124008285226, 'Lawrence Hill': 0.16432016728104581, 'Hengrove & Whitchurch Park': 0.16278664000791582}"
neighbourhood,categorical,,,,,0.0,{'Neighborhood highlights': 0.16180422799277436}
